id,title,authors,categories,published_date,publisher,average_rating,ratings_count,page_count,description,thumbnail,info_link,preview_link
ofyGEAAAQBAJ,'C' Programming in an Open Source Paradigm,"K. S. Oza, S. R. Patil, R. K. Kamat",Computers,2022-09-01,CRC Press,,,187,"Over the period of last few decades, the ‘C’ language has become an icon for computer programmers. The field of computer science has undergone tremendous change, and the rate of obsolescence of concepts, programming platforms, tools and utilities is extremely high. However, in spite of such vast changes, the only thing that has retained its stability is the ‘C’ language. Even today, millions of students, hobbyists and professional programmers enjoy the sturdiness, reliability and user friendliness of the ‘C’ language. Today ‘C’ enjoys the undisputable recognition in the computing paradigm for diversified applications, from the basic programming, microcontrollers, and spreadsheets to system programming. In this book, most of the usual theoretical features have been skipped, for these have been widely published in previous books. Rather than introducing the underpinning theory, the authors approach has been “learning-through-doing”, which is one that often appeals to programmers. Theory is followed by practical implementation, and in this way the book will cover programming aspects in a self-tutor manner providing an excellent overview, from basic to advance programming. Topics discussed include: • GCC interface• First time ‘C’ User• Decision and looping structures• Arrays and pointers• Functions, structures and union• Linear data structures",http://books.google.com/books/content?id=ofyGEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=ofyGEAAAQBAJ&dq=programming&hl=&source=gbs_api,http://books.google.com/books?id=ofyGEAAAQBAJ&printsec=frontcover&dq=programming&hl=&cd=11&source=gbs_api
YXQsDwAAQBAJ,Coding Literacy,Annette Vee,Computers,2017-07-28,MIT Press,,,375,"How the theoretical tools of literacy help us understand programming in its historical, social and conceptual contexts. The message from educators, the tech community, and even politicians is clear: everyone should learn to code. To emphasize the universality and importance of computer programming, promoters of coding for everyone often invoke the concept of “literacy,” drawing parallels between reading and writing code and reading and writing text. In this book, Annette Vee examines the coding-as-literacy analogy and argues that it can be an apt rhetorical frame. The theoretical tools of literacy help us understand programming beyond a technical level, and in its historical, social, and conceptual contexts. Viewing programming from the perspective of literacy and literacy from the perspective of programming, she argues, shifts our understandings of both. Computer programming becomes part of an array of communication skills important in everyday life, and literacy, augmented by programming, becomes more capacious. Vee examines the ways that programming is linked with literacy in coding literacy campaigns, considering the ideologies that accompany this coupling, and she looks at how both writing and programming encode and distribute information. She explores historical parallels between writing and programming, using the evolution of mass textual literacy to shed light on the trajectory of code from military and government infrastructure to large-scale businesses to personal use. Writing and coding were institutionalized, domesticated, and then established as a basis for literacy. Just as societies demonstrated a “literate mentality” regardless of the literate status of individuals, Vee argues, a “computational mentality” is now emerging even though coding is still a specialized skill.",http://books.google.com/books/content?id=YXQsDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=YXQsDwAAQBAJ&dq=programming&hl=&source=gbs_api,http://books.google.com/books?id=YXQsDwAAQBAJ&printsec=frontcover&dq=programming&hl=&cd=12&source=gbs_api
AoGSk6SUouQC,You Can Do It!,Francis Glassborow,Computers,2004-04-21,John Wiley & Sons,,,379,"Want to start programming but don't know where to start? Don't worry! With a radically different approach to programming, author Francis Glassborow demystifies programming concepts, and shows you how to create real applications with C++. Working with computing novice Roberta Allen he teaches you the basic elements of programming and will have you writing programs from the first chapter.",http://books.google.com/books/content?id=AoGSk6SUouQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=AoGSk6SUouQC&dq=programming&hl=&source=gbs_api,http://books.google.com/books?id=AoGSk6SUouQC&printsec=frontcover&dq=programming&hl=&cd=13&source=gbs_api
Vj9RAQAAMAAJ,Code of Federal Regulations,Unknown,Administrative law,1995,,,,710,,http://books.google.com/books/content?id=Vj9RAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://play.google.com/store/books/details?id=Vj9RAQAAMAAJ&source=gbs_api,http://books.google.com/books?id=Vj9RAQAAMAAJ&pg=PA577&dq=programming&hl=&cd=14&source=gbs_api
ZMjBDwAAQBAJ,ECEL 2019 18th European Conference on e-Learning,"Rikke Ørngreen, Bente Meyer, Mie Buhl ",Business & Economics,2019-11-07,Academic Conferences and publishing limited,5,1,722,,http://books.google.com/books/content?id=ZMjBDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=ZMjBDwAAQBAJ&dq=programming&hl=&source=gbs_api,http://books.google.com/books?id=ZMjBDwAAQBAJ&pg=PA228&dq=programming&hl=&cd=15&source=gbs_api
otw9AQAAIAAJ,Computer Literature Bibliography: 1946-1963,W. W. Youden,Computer science,1965,,,,478,,http://books.google.com/books/content?id=otw9AQAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://play.google.com/store/books/details?id=otw9AQAAIAAJ&source=gbs_api,http://books.google.com/books?id=otw9AQAAIAAJ&pg=PA98&dq=programming&hl=&cd=16&source=gbs_api
ff7wswEACAAJ,Programming in C++,Laxmisha Rai,Computers,2019,ISSN,,,0,"The book presents an up-to-date overview of C++ programming with object-oriented programming concepts, with a wide coverage of classes, objects, inheritance, constructors, and polymorphism. Selection statements, looping, arrays, strings, function sorting and searching algorithms are discussed. With abundant practical examples, the book is an essential reference for researchers, students, and professionals in programming.",http://books.google.com/books/content?id=ff7wswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=ff7wswEACAAJ&dq=programming&hl=&source=gbs_api,http://books.google.com/books?id=ff7wswEACAAJ&dq=programming&hl=&cd=17&source=gbs_api
_SigDQAAQBAJ,Erlang and Elixir for Imperative Programmers,Wolfgang Loder,Computers,2016-11-26,Apress,,,260,"Learn and understand Erlang and Elixir and develop a working knowledge of the concepts of functional programming that underpin them. This book takes the author’s experience of taking on a project that required functional programming and real-time systems, breaks it down, and organizes it. You will get the necessary knowledge about differences to the languages you know, where to start, and where to go next. Have you been told by your customer or manager that they heard good things about Erlang, you should use it for the next project? Never had to deal with functional programming or real-time systems? In 2014, the author, Wolfgang Loder, developed a repository for digital assets that had to deliver those assets in binary form quickly and reliably, being able to deal with at least hundreds of requests per second. Since he could decide the architecture and software stack of the solution, he immediately thought of Erlang and its libraries and started to evaluate this option. It was not long after that he discovered Elixir, which sits on top of the Erlang virtual machine and has features more palatable for non-functional programmers, although it is a functional programming language itself. Erlang and Elixir for Imperative Programmers gives you a basis for deciding whether the effort is viable for your next project. This book is partly a tale of the author's own experience and partly a description of the bigger and more subtle differences between Erlang/Elixir and languages such as C++, Java, and C#. What You'll Learn Discover functional programming, Erlang, and Elixir Work on service design and service features Set up your environment: deployment, development, and production Implement the service including public interface, asset processing, and deployment Use the patterns and concepts found in Erlang including type creation concepts and code structuring. Who This Book Is For Experienced and savvy programmers, coders, and developers new to Erlang and Elixir.",http://books.google.com/books/content?id=_SigDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=_SigDQAAQBAJ&dq=programming&hl=&source=gbs_api,http://books.google.com/books?id=_SigDQAAQBAJ&pg=PA3&dq=programming&hl=&cd=18&source=gbs_api
OonsCAAAQBAJ,"Wörterbuch der Elektronik, Datentechnik, Telekommunikation und Medien",Victor Ferretti,Technology & Engineering,2013-11-27,Springer Science & Business Media,,,1033,"Since the first edition was published, new technologies have emerged, especially in the area of convergence of computing and communications, accompanied by a lot of new technical terms. This third expanded and updated edition has been adaptetd to cope with this situation. The number of entries has been incremented by 35%. This dictionary offers a valuable guide to navigate through the entanglement of German and English terminology. The lexicographic concept (indication of the subject field for every term, short definitions, references to synonyms, antonyms, general and derivative terms) has been maintained, as well as the tabular layout.",http://books.google.com/books/content?id=OonsCAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=OonsCAAAQBAJ&dq=programming&hl=&source=gbs_api,http://books.google.com/books?id=OonsCAAAQBAJ&pg=PA643&dq=programming&hl=&cd=19&source=gbs_api
sS7aPtrUuw4C,97 Things Every Programmer Should Know,Kevlin Henney,Computers,2010-02-05,"""O'Reilly Media, Inc.""",4,3,259,"Tap into the wisdom of experts to learn what every programmer should know, no matter what language you use. With the 97 short and extremely useful tips for programmers in this book, you'll expand your skills by adopting new approaches to old problems, learning appropriate best practices, and honing your craft through sound advice. With contributions from some of the most experienced and respected practitioners in the industry--including Michael Feathers, Pete Goodliffe, Diomidis Spinellis, Cay Horstmann, Verity Stob, and many more--this book contains practical knowledge and principles that you can apply to all kinds of projects. A few of the 97 things you should know: ""Code in the Language of the Domain"" by Dan North ""Write Tests for People"" by Gerard Meszaros ""Convenience Is Not an -ility"" by Gregor Hohpe ""Know Your IDE"" by Heinz Kabutz ""A Message to the Future"" by Linda Rising ""The Boy Scout Rule"" by Robert C. Martin (Uncle Bob) ""Beware the Share"" by Udi Dahan",http://books.google.com/books/content?id=sS7aPtrUuw4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=sS7aPtrUuw4C&dq=programming&hl=&source=gbs_api,http://books.google.com/books?id=sS7aPtrUuw4C&pg=PA88&dq=programming&hl=&cd=20&source=gbs_api
4ygj3DM4Vg4C,FCC Record,United States. Federal Communications Commission,Telecommunication,2014,,,,856,,http://books.google.com/books/content?id=4ygj3DM4Vg4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://play.google.com/store/books/details?id=4ygj3DM4Vg4C&source=gbs_api,http://books.google.com/books?id=4ygj3DM4Vg4C&pg=PA14700&dq=programming&hl=&cd=21&source=gbs_api
JIdjDwAAQBAJ,"Design, User Experience, and Usability: Designing Interactions","Aaron Marcus, Wentao Wang",Computers,2018-07-10,Springer,,,699,"The three-volume set LNCS 10918, 10919, and 10290 constitutes the proceedings of the 7th International Conference on Design, User Experience, and Usability, DUXU 2018, held as part of the 20th International Conference on Human-Computer Interaction, HCII 2018, in Las Vegas, NV, USA in July 2018. The total of 1171 papers presented at the HCII 2018 conferences were carefully reviewed and selected from 4346 submissions. The papers cover the entire field of human-computer interaction, addressing major advances in knowledge and effective use of computers in a variety of applications areas. The total of 165 contributions included in the DUXU proceedings were carefully reviewed and selected for inclusion in this three-volume set. The 50 papers included in this volume are organized in topical sections on design, education and creativity, GUI, visualization and image design, multimodal DUXU, and mobile DUXU.",http://books.google.com/books/content?id=JIdjDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=JIdjDwAAQBAJ&dq=programming&hl=&source=gbs_api,http://books.google.com/books?id=JIdjDwAAQBAJ&pg=PA41&dq=programming&hl=&cd=22&source=gbs_api
KF0PEAAAQBAJ,Computer Programming for Beginners,Murali Chemuturi,Computers,2018-09-03,CRC Press,,,259,This book aims to capture the fundamentals of computer programming without tying the topic to any specific programming language. To the best of the authors’ knowledge there is no such book in the market.,http://books.google.com/books/content?id=KF0PEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=KF0PEAAAQBAJ&dq=programming&hl=&source=gbs_api,http://books.google.com/books?id=KF0PEAAAQBAJ&dq=programming&hl=&cd=23&source=gbs_api
QZWQM4ZC_uAC,NASA Thesaurus,Unknown,Aeronautics,1985,,,,404,,http://books.google.com/books/content?id=QZWQM4ZC_uAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://play.google.com/store/books/details?id=QZWQM4ZC_uAC&source=gbs_api,http://books.google.com/books?id=QZWQM4ZC_uAC&pg=PA178&dq=programming&hl=&cd=24&source=gbs_api
9bgIEQAAQBAJ,Semantic Web Technologies and Applications in Artificial Intelligence of Things,"Ortiz-Rodriguez, Fernando, Leyva-Mederos, Amed, Tiwari, Sanju, Hernandez-Quintana, Ania R., Martinez-Rodriguez, Jose L.",Computers,2024-05-16,IGI Global,,,502,"The confluence of Artificial Intelligence of Things (AIoT) and Semantic Web technologies is nothing short of revolutionary. The profound impact of this synergy extends far beyond the realms of industry, research, and society; it shapes the very fabric of our future. Semantic Web Technologies and Applications in Artificial Intelligence of Things is a meticulously crafted reference that not only acknowledges this significance but also serves as a guide for those navigating the complexities of Industry 4.0 and AIoT. This curated compendium of cutting-edge technologies acts as a veritable knowledge base for future developments. As academics, scholars, and industry professionals, the ideal audience of this book, will find meticulously curated content that caters to their diverse interests and expertise, covering topics ranging from smart agriculture, manufacturing, industry, health sciences, and government. Seasoned academics, students, and visionary industry leaders, will find this book to be an indispensable guide that paves the way for innovation and progress.",http://books.google.com/books/content?id=9bgIEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=9bgIEQAAQBAJ&dq=programming&hl=&source=gbs_api,http://books.google.com/books?id=9bgIEQAAQBAJ&pg=PA393&dq=programming&hl=&cd=25&source=gbs_api
mG5NAQAAMAAJ,U.S. Government Research Reports,Unknown,Science,1964,,,,1306,,http://books.google.com/books/content?id=mG5NAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://play.google.com/store/books/details?id=mG5NAQAAMAAJ&source=gbs_api,http://books.google.com/books?id=mG5NAQAAMAAJ&pg=RA3-PA14&dq=programming&hl=&cd=26&source=gbs_api
bFjzDwAAQBAJ,"Managerial Economics (Analysis of Managerial Decision Making), 9th Edition",Ahuja H.L.,Business & Economics,2017,S. Chand Publishing,,,1160,"Widely acknowledged, this popular and detailed text is a comprehensive treatise on Managerial Economics - both micro and macro-economic aspects. This text ensures a thorough understanding of core concepts before advancing to provide an expanded treatment of topics. It explains the economic environment and the impact on managerial decisions regarding price & output determination in different market structures followed by an account of the behaviour of individuals under conditions of uncertainty.",http://books.google.com/books/content?id=bFjzDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=bFjzDwAAQBAJ&dq=programming&hl=&source=gbs_api,http://books.google.com/books?id=bFjzDwAAQBAJ&pg=PA413&dq=programming&hl=&cd=27&source=gbs_api
HkfxBQAAQBAJ,Self-Healing Composites,Guoqiang Li,Technology & Engineering,2014-11-17,John Wiley & Sons,,,386,"In this book, the self-healing of composite structures with shape memory polymer as either matrix or embedded suture is systematically discussed. Self-healing has been well known in biological systems for many years: a typical example is the self-healing of human skin. Whilst a minor wound can be self-closed by blood clotting, a deep and wide cut needs external help by suturing. Inspired by this observation, this book proposes a two-step close-then-heal (CTH) scheme for healing wide-opened cracks in composite structures–by constrained shape recovery first, followed by molecular healing. It is demonstrated that the CTH scheme can heal wide-opened structural cracks repeatedly, efficiently, timely, and molecularly. It is believed that self-healing represents the next-generation technology and will become an engineering reality in the near future. The book consists of both fundamental background and practical skills for implementing the CTH scheme, with additional focus on understanding strain memory versus stress memory and healing efficiency evaluation under various fracture modes. Potential applications to civil engineering structures, including sealant for bridge decks and concrete pavements, and rutting resistant asphalt pavements, are also explored. This book will help readers to understand this emerging field, and to establish a framework for new innovation in this direction. Key features: explores potential applications of shape memory polymers in civil engineering structures, which is believed to be unique within the literature balanced testing and mathematical modeling, useful for both academic researchers and practitioners the self-healing scheme is based on physical change of polymers and is written in an easy to understand style for engineering professionals without a strong background in chemistry",http://books.google.com/books/content?id=HkfxBQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=HkfxBQAAQBAJ&dq=programming&hl=&source=gbs_api,http://books.google.com/books?id=HkfxBQAAQBAJ&pg=PA86&dq=programming&hl=&cd=28&source=gbs_api
gLtLdDp7Xt0C,Quantitative Analysis For Management,Render,Uncategorized,2008-02,Pearson Education India,,,756,,http://books.google.com/books/content?id=gLtLdDp7Xt0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=gLtLdDp7Xt0C&dq=programming&hl=&source=gbs_api,http://books.google.com/books?id=gLtLdDp7Xt0C&pg=PA487&dq=programming&hl=&cd=29&source=gbs_api
vEU4EQAAQBAJ,Fundamentals of Computers,EduGorilla Prep Experts,Computers,2024-09-03,EduGorilla Publication,,,484,"EduGorilla Publication is a trusted name in the education sector, committed to empowering learners with high-quality study materials and resources. Specializing in competitive exams and academic support, EduGorilla provides comprehensive and well-structured content tailored to meet the needs of students across various streams and levels.",http://books.google.com/books/content?id=vEU4EQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=vEU4EQAAQBAJ&dq=programming&hl=&source=gbs_api,http://books.google.com/books?id=vEU4EQAAQBAJ&pg=PA334&dq=programming&hl=&cd=30&source=gbs_api
l-LoEAAAQBAJ,22nd European Conference on e-Learning,"Shawren Singh, Sarah Jane Johnston",Education,2023-10-26,Academic Conferences and publishing limited,,,445,"These proceedings represent the work of contributors to the 22nd European Conference on e-Learning (ECEL 2023), hosted by University of South Africa, Pretoria, South Africa on 26-27 October 2023. The Conference Co-Chairs Associate Professor Sarah Jane Johnston and Associate Professor Shawren Singh both from University of South Africa, Pretoria, South Africa. ECEL is now a well-established event on the academic research calendar and now in its 22nd year the key aim remains the opportunity for participants to share ideas and meet the people who hold them. The scope of papers will ensure an interesting two days. The subjects covered illustrate the wide range of topics that fall into this important and ever-growing area of research. It is especially relevant that the conference is being hosted by UNISA this year as the university celebrates its 150th anniversary. UNISA has been a pioneer in first distance and now e-Learning. The conference will also host the final round of the 9th e-Learning Excellence Awards where innovate case histories will be presented. The opening keynote presentation is given by Professor Thenjiwe Meyiwa, Vice Principal for the Research, Postgraduate Studies, Innovation and Commercialisation at University of South Africa who will speak on, “The Role of African Feminisms in Shaping a Sustainable Future of Being and Learning”. An afternoon keynote on Thursday will be made by Dr Zolile Martin Mguda, University of South Africa on the topic of “ChatGPT: The first year”. The second day of the conference will open with an address by Dr Isabel Tarling, MD, Limina, South Africa with the title “Developing Digital Standards for Learning and Teaching in South Africa’s Schools”. With an initial submission of 100 abstracts, after the double blind, peer review process there are 45 Academic research papers, 3 PhD research papers and 1 Masters Research paper published in these Conference Proceedings. These papers represent research from Belgium, Canada, Chile, Czech Republic, France, Germany, Ghana, Greece, Hong Kong, Ireland, Japan, Malaysia, Mozambique, Norway, Oman, Perú, Poland, Portugal, Romania, Singapore, South Africa, Sri Lanka, Sweden, Switzerland, Turkey and the United Kingdom.",http://books.google.com/books/content?id=l-LoEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=l-LoEAAAQBAJ&dq=programming&hl=&source=gbs_api,http://books.google.com/books?id=l-LoEAAAQBAJ&pg=PA390&dq=programming&hl=&cd=31&source=gbs_api
